onet_soc_code,synonyms,tasks
29-2033.00,"Certified Nuclear Medicine Technologist (CNMT), Nuclear Cardiology Technologist, Nuclear Medicine Technologist (NMT), Staff Nuclear Medicine Technologist","Prepare, administer, and measure radioactive isotopes in therapeutic, diagnostic, and tracer studies using a variety of radioisotope equipment. Prepare stock solutions of radioactive materials and calculate doses to be administered by radiologists. Subject patients to radiation. Execute blood volume, red cell survival, and fat absorption studies following standard laboratory techniques."
29-1242.00,"Hand Surgeon, Orthopedic Surgeon, Physician, Surgeon",Diagnose and perform surgery to treat and prevent rheumatic and other diseases in the musculoskeletal system.
51-5112.00,"Press Operator, Pressman, Printer, Printing Press Operator","Set up and operate digital, letterpress, lithographic, flexographic, gravure, or other printing machines. Includes short-run offset printing presses."
43-6011.00,"Administrative Assistant, Administrative Secretary, Executive Assistant, Executive Secretary","Provide high-level administrative support by conducting research, preparing statistical reports, and handling information requests, as well as performing routine administrative functions such as preparing correspondence, receiving visitors, arranging conference calls, and scheduling meetings. May also train and supervise lower-level clerical staff."
47-2051.00,"Cement Finisher, Cement Mason, Concrete Finisher, Finisher","Smooth and finish surfaces of poured concrete, such as floors, walks, sidewalks, roads, or curbs using a variety of hand and power tools. Align forms for sidewalks, curbs, or gutters; patch voids; and use saws to cut expansion joints."
43-5051.00,"Clerk, Postal Clerk, Sales and Service Associate (SSA), Window Clerk","Perform any combination of tasks in a United States Postal Service (USPS) post office, such as receive letters and parcels; sell postage and revenue stamps, postal cards, and stamped envelopes; fill out and sell money orders; place mail in pigeon holes of mail rack or in bags; and examine mail for correct postage. Includes postal service clerks employed by USPS contractors."
55-3019.00,"We're sorry, the requested page could not be found. Please try the following:",
11-9199.10,"Business Development Director, Business Development Manager, Development Director, Development Manager","Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects."
33-2021.00,"Arson Investigator, Fire Inspector, Fire Investigator, Fire Prevention Inspector","Inspect buildings to detect fire hazards and enforce local ordinances and state laws, or investigate and gather facts to determine cause of fires and explosions."
15-2099.00,"We're sorry, the requested page could not be found. Please try the following:",
17-2072.01,"Deployment Engineer, RFID Engineer (Radio Frequency Identification Device Engineer), RFID Systems Engineer (Radio Frequency Identification Device Systems Engineer), Technical Support Engineer",Design and implement radio frequency identification device (RFID) systems used to track shipments or goods.
27-3031.00,"Communications Specialist, Public Affairs Specialist, Public Information Officer, Public Relations Specialist (PR Specialist)","Promote or create an intended public image for individuals, groups, or organizations. May write or select material for release to various communications media. May specialize in using social media."
19-3011.01,"Environmental Economist, Natural Resource Economist, Research Economist, Resource Economist","Conduct economic analysis related to environmental protection and use of the natural environment, such as water, air, land, and renewable energy resources. Evaluate and quantify benefits, costs, incentives, and impacts of alternative options using economic principles and statistical techniques."
53-4013.00,"Engineer, Railcar Switcher, Railroad Engineer, Switchman","Drive switching or other locomotive or dinkey engines within railroad yard, industrial plant, quarry, construction project, or similar location."
19-1031.02,"Natural Resource Specialist, Range Technician, Rangeland Management Specialist, Resource Manager","Research or study range land management practices to provide sustained production of forage, livestock, and wildlife."
47-4071.00,"Drain Cleaner, Septic Pump Truck Driver, Septic Tank Service Technician, Service Technician","Clean and repair septic tanks, sewer lines, or drains. May patch walls and partitions of tank, replace damaged drain tile, or repair breaks in underground piping."
15-1299.05,,"Develop and oversee the implementation of information security procedures and policies. Build, maintain and upgrade security technology, such as firewalls, for the safe use of computer networks and the transmission and retrieval of information. Design and implement appropriate security controls to identify vulnerabilities and protect digital files and electronic infrastructures. Monitor and respond to computer security breaches, viruses, and intrusions, and perform forensic investigation. May oversee the assessment of information security systems."
47-3012.00,"Carpenter Assistant, Carpenter Helper, Carpenter's Helper","Help carpenters by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work area and equipment."
51-4022.00,"Blacksmith, Forge Operator, Hammer Operator, Machine Operator","Set up, operate, or tend forging machines to taper, shape, or form metal or plastic parts."
